ID,WP Module,Data items,Units,City/Pilot,Stream,{Sensor},ruimte_identificatie
11,De-centralized data,zaanstad_townhall_flexwhere_E0,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_E0,E0,E0
12,De-centralized data,zaanstad_townhall_flexwhere_G0,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_G0,G0,G0
13,De-centralized data,zaanstad_townhall_flexwhere_D0,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_D0,D0,D0
14,De-centralized data,zaanstad_townhall_flexwhere_F0,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_F0,F0,F0
15,De-centralized data,zaanstad_townhall_flexwhere_H0,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_H0,H0,H0
162,De-centralized data,zaanstad_townhall_flexwhere_C1,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_C1,C1,C1
163,De-centralized data,zaanstad_townhall_flexwhere_E1,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_E1,E1,E1
164,De-centralized data,zaanstad_townhall_flexwhere_G1,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_G1,G1,G1
165,De-centralized data,zaanstad_townhall_flexwhere_D1,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_D1,D1,D1
166,De-centralized data,zaanstad_townhall_flexwhere_F1,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_F1,F1,F1
167,De-centralized data,zaanstad_townhall_flexwhere_H1,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_H1,H1,H1
346,De-centralized data,zaanstad_townhall_flexwhere_D2,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_D2,D2,D2
347,De-centralized data,zaanstad_townhall_flexwhere_F2,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_F2,F2,F2
348,De-centralized data,zaanstad_townhall_flexwhere_H2,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_H2,H2,H2
349,De-centralized data,zaanstad_townhall_flexwhere_G2,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_G2,G2,G2
350,De-centralized data,zaanstad_townhall_flexwhere_E2,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_E2,E2,E2
351,De-centralized data,zaanstad_townhall_flexwhere_C2,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_C2,C2,C2
522,De-centralized data,zaanstad_townhall_flexwhere_D3,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_D3,D3,D3
523,De-centralized data,zaanstad_townhall_flexwhere_F3,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_F3,F3,F3
524,De-centralized data,zaanstad_townhall_flexwhere_H3,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_H3,H3,H3
525,De-centralized data,zaanstad_townhall_flexwhere_G3,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_G3,G3,G3
526,De-centralized data,zaanstad_townhall_flexwhere_E3,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_E3,E3,E3
527,De-centralized data,zaanstad_townhall_flexwhere_C3,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_C3,C3,C3
708,De-centralized data,zaanstad_townhall_flexwhere_D4,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_D4,D4,D4
709,De-centralized data,zaanstad_townhall_flexwhere_F4,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_F4,F4,F4
710,De-centralized data,zaanstad_townhall_flexwhere_H4,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_H4,H4,H4
711,De-centralized data,zaanstad_townhall_flexwhere_G4,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_G4,G4,G4
712,De-centralized data,zaanstad_townhall_flexwhere_E4,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_E4,E4,E4
713,De-centralized data,zaanstad_townhall_flexwhere_C4,people,Zaanstad - Town hall,zaanstad_townhall_flexwhere_C4,C4,C4