DATE;TIME;Indoor Temperature;Energy Consumption
21/10/2014;23:55:00;24,38339424;0,804688
21/10/2014;23:50:00;24,05372429;0,695312
21/10/2014;23:45:00;24,33455467;0,898438
21/10/2014;23:40:00;24,33455467;0,90625
21/10/2014;23:35:00;24,33455467;0,796875
21/10/2014;23:30:00;24,38339424;0,703125
21/10/2014;23:25:00;24,38339424;0,796875
21/10/2014;23:20:00;24,43223572;0,703125
21/10/2014;23:15:00;24,46886444;0,796875
21/10/2014;23:10:00;24,43223572;0,796875
21/10/2014;23:05:00;24,45665359;0,703125
21/10/2014;23:00:00;24,43223572;0,601562
21/10/2014;22:55:00;24,46886444;0,796875
21/10/2014;22:50:00;24,46886444;0,703125
21/10/2014;22:45:00;24,46886444;0,695312
21/10/2014;22:40:00;24,45665359;1
21/10/2014;22:35:00;24,43223572;0,703125
21/10/2014;22:30:00;24,43223572;0,601562
21/10/2014;22:25:00;24,43223572;0,601562
21/10/2014;22:20:00;24,43223572;0,898438
21/10/2014;22:15:00;24,43223572;0,5
21/10/2014;22:10:00;24,45665359;0,695312
21/10/2014;22:05:00;24,51770592;0,601562
21/10/2014;22:00:00;24,51770592;0,601562
21/10/2014;21:55:00;24,51770592;0,796875
21/10/2014;21:50:00;24,51770592;0,40625
21/10/2014;21:45:00;24,55433273;0,898438
21/10/2014;21:40:00;24,46886444;0,398438
21/10/2014;21:35:00;24,42002487;0,898438
21/10/2014;21:30:00;24,33455467;0,804688
21/10/2014;21:25:00;24,38339424;1,5
21/10/2014;21:20:00;24,43223572;1,09375
21/10/2014;21:15:00;24,45665359;1,20312
21/10/2014;21:10:00;24,38339424;1,29688
21/10/2014;21:05:00;24,2857151;1
21/10/2014;21:00:00;24,2857151;1,40625
21/10/2014;20:55:00;24,2857151;1,09375
21/10/2014;20:50:00;24,2002449;1,40625
21/10/2014;20:45:00;24,15140343;1,5
21/10/2014;20:40:00;24,05372429;1,19531
21/10/2014;20:35:00;23,95604324;1,60156
21/10/2014;20:30:00;23,95604324;1,10156
21/10/2014;20:25:00;24,05372429;1,60156
21/10/2014;20:20:00;24,10256386;1,09375
21/10/2014;20:15:00;24,18803406;1,30469
21/10/2014;20:10:00;24,23687363;1,19531
21/10/2014;20:05:00;24,13919449;1,10156
21/10/2014;20:00:00;24,2002449;1,60156
21/10/2014;19:55:00;24,15140343;1,20312
21/10/2014;19:50:00;24,05372429;1,29688
21/10/2014;19:45:00;24,13919449;1,39844
21/10/2014;19:40:00;24,09035492;1,10156
21/10/2014;19:35:00;24,05372429;1,5
21/10/2014;19:30:00;24,10256386;1,10156
21/10/2014;19:25:00;24,13919449;1,60156
21/10/2014;19:20:00;24,23687363;1,09375
21/10/2014;19:15:00;24,18803406;1,5
21/10/2014;19:10:00;24,09035492;1,10156
21/10/2014;19:05:00;24,23687363;1,39844
21/10/2014;19:00:00;24,29792404;1,20312
21/10/2014;18:55:00;24,38339424;0,898438
21/10/2014;18:50:00;24,33455467;1,39844
21/10/2014;18:45:00;24,33455467;1,20312
21/10/2014;18:40:00;24,2857151;1,10156
21/10/2014;18:35:00;24,43223572;1,39844
21/10/2014;18:30:00;24,33455467;0,898438
21/10/2014;18:25:00;24,23687363;1,20312
21/10/2014;18:20:00;24,38339424;1,39844
21/10/2014;18:15:00;24,38339424;1,29688
21/10/2014;18:10:00;24,2857151;1,20312
21/10/2014;18:05:00;24,23687363;1,5
21/10/2014;18:00:00;24,33455467;1,10156
21/10/2014;17:55:00;24,33455467;1,10156
21/10/2014;17:50:00;24,43223572;1,19531
21/10/2014;17:45:00;24,43223572;1,20312
21/10/2014;17:40:00;24,43223572;1,10156
21/10/2014;17:35:00;24,2857151;1,39844
21/10/2014;17:30:00;24,33455467;1,29688
21/10/2014;17:25:00;24,38339424;1,39844
21/10/2014;17:20:00;24,2857151;1,40625
21/10/2014;17:15:00;24,33455467;1,19531
21/10/2014;17:10:00;24,43223572;1,5
21/10/2014;17:05:00;24,18803406;1,30469
21/10/2014;17:00:00;24,23687363;1,39844
21/10/2014;16:55:00;24,2002449;1,19531
21/10/2014;16:50:00;24,43223572;1,5
21/10/2014;16:45:00;24,51770592;1,30469
21/10/2014;16:40:00;24,38339424;1,19531
21/10/2014;16:35:00;24,46886444;1,60156
21/10/2014;16:30:00;24,38339424;1,30469
21/10/2014;16:25:00;24,2857151;1,5
21/10/2014;16:20:00;24,38339424;1,39844
21/10/2014;16:15:00;24,18803406;1,10156
21/10/2014;16:10:00;24,23687363;1,5
21/10/2014;16:05:00;24,18803406;1,09375
21/10/2014;16:00:00;24,13919449;1,30469
21/10/2014;15:55:00;24,18803406;1,29688
21/10/2014;15:50:00;24,10256386;1
21/10/2014;15:45:00;24,10256386;1,39844
21/10/2014;15:40:00;24,00488281;1,30469
21/10/2014;15:35:00;24,00488281;1,19531
21/10/2014;15:30:00;24,05372429;1,40625
21/10/2014;15:25:00;24,04151535;1,09375
21/10/2014;15:20:00;23,95604324;1,60156
21/10/2014;15:15:00;24,00488281;1,20312
21/10/2014;15:10:00;23,95604324;1,5
21/10/2014;15:05:00;24,00488281;1,39844
21/10/2014;15:00:00;24,0293045;1,39844
21/10/2014;14:55:00;23,90720367;1,5
21/10/2014;14:50:00;23,80952454;1,20312
21/10/2014;14:45:00;23,80952454;1,10156
21/10/2014;14:40:00;23,76068306;1,29688
21/10/2014;14:35:00;23,76068306;1,20312
21/10/2014;14:30:00;23,76068306;1,39844
21/10/2014;14:25:00;23,71184349;1
21/10/2014;14:20:00;23,76068306;1,19531
21/10/2014;14:15:00;23,61416245;1,40625
21/10/2014;14:10:00;23,61416245;1,29688
21/10/2014;14:05:00;23,71184349;1,39844
21/10/2014;14:00:00;23,71184349;1,30469
21/10/2014;13:55:00;23,63858414;1,09375
21/10/2014;13:50:00;23,61416245;1,30469
21/10/2014;13:45:00;23,51648331;1,29688
21/10/2014;13:40:00;23,61416245;1,20312
21/10/2014;13:35:00;23,57753372;1,39844
21/10/2014;13:30:00;23,47985268;1,20312
21/10/2014;13:25:00;23,43101311;1,29688
21/10/2014;13:20:00;23,38217163;1,39844
21/10/2014;13:15:00;23,43101311;1,30469
21/10/2014;13:10:00;23,71184349;1,5
21/10/2014;13:05:00;24,13919449;1,5
21/10/2014;13:00:00;24,46886444;1,09375
21/10/2014;12:55:00;24,43223572;1,5
21/10/2014;12:50:00;24,38339424;1,20312
21/10/2014;12:45:00;24,38339424;1,29688
21/10/2014;12:40:00;24,2857151;1,5
21/10/2014;12:35:00;24,23687363;1,20312
21/10/2014;12:30:00;24,24908447;1,5
21/10/2014;12:25:00;24,33455467;1,20312
21/10/2014;12:20:00;24,46886444;1,29688
21/10/2014;12:15:00;24,51770592;1,20312
21/10/2014;12:10:00;24,56654549;1,19531
21/10/2014;12:05:00;24,61538506;1,39844
21/10/2014;12:00:00;24,33455467;1,20312
21/10/2014;11:55:00;23,95604324;1,39844
21/10/2014;11:50:00;24,18803406;1,39844
21/10/2014;11:45:00;24,43223572;1,20312
21/10/2014;11:40:00;24,33455467;1,39844
21/10/2014;11:35:00;24,00488281;1,30469
21/10/2014;11:30:00;23,82173347;1,29688
21/10/2014;11:25:00;23,76068306;1,20312
21/10/2014;11:20:00;23,71184349;1,19531
21/10/2014;11:15:00;23,56532288;1,60156
21/10/2014;11:10:00;23,43101311;1,10156
21/10/2014;11:05:00;23,51648331;1,39844
21/10/2014;11:00:00;23,66300392;1,5
21/10/2014;10:55:00;23,43101311;1,29688
21/10/2014;10:50:00;23,24786377;1,30469
21/10/2014;10:45:00;23,28449249;1,10156
21/10/2014;10:40:00;23,23565292;1
21/10/2014;10:35:00;23,43101311;1,19531
21/10/2014;10:30:00;23,38217163;1,10156
21/10/2014;10:25:00;23,33333206;1,39844
21/10/2014;10:20:00;23,38217163;1,10156
21/10/2014;10:15:00;23,28449249;1,10156
21/10/2014;10:10:00;23,33333206;1,19531
21/10/2014;10:05:00;23,23565292;1,30469
21/10/2014;10:00:00;23,15018463;0,898438
21/10/2014;9:55:00;23,05250359;1,29688
21/10/2014;9:50:00;22,8571434;1
21/10/2014;9:45:00;22,75946426;0,90625
21/10/2014;9:40:00;22,3687439;1,29688
21/10/2014;9:35:00;22,41758347;1,20312
21/10/2014;9:30:00;22,61294365;1,09375
21/10/2014;9:25:00;22,66178322;1,30469
21/10/2014;9:20:00;22,71062469;1,10156
21/10/2014;9:15:00;22,71062469;1,29688
21/10/2014;9:10:00;22,66178322;1,20312
21/10/2014;9:05:00;22,66178322;1,19531
21/10/2014;9:00:00;22,46642303;1,20312
21/10/2014;8:55:00;22,61294365;1,10156
21/10/2014;8:50:00;22,56410408;1,19531
21/10/2014;8:45:00;22,66178322;1,30469
21/10/2014;8:40:00;22,56410408;1,19531
21/10/2014;8:35:00;22,90598297;1,39844
21/10/2014;8:30:00;23,08913231;1
21/10/2014;8:25:00;23,18681335;1,20312
21/10/2014;8:20:00;23,38217163;1
21/10/2014;8:15:00;23,38217163;1,10156
21/10/2014;8:10:00;23,15018463;1,29688
21/10/2014;8:05:00;22,99145126;1,10156
21/10/2014;8:00:00;22,8571434;1,39844
21/10/2014;7:55:00;23,15018463;1,20312
21/10/2014;7:50:00;23,33333206;1,29688
21/10/2014;7:45:00;23,23565292;1,20312
21/10/2014;7:40:00;23,38217163;0,898438
21/10/2014;7:35:00;23,540905;1,29688
21/10/2014;7:30:00;23,43101311;1
21/10/2014;7:25:00;23,47985268;1,20312
21/10/2014;7:20:00;23,43101311;1,10156
21/10/2014;7:15:00;23,43101311;1,10156
21/10/2014;7:10:00;23,43101311;1,29688
21/10/2014;7:05:00;23,38217163;1
21/10/2014;7:00:00;23,51648331;1,39844
21/10/2014;6:55:00;23,56532288;0,804688
21/10/2014;6:50:00;23,46764374;0,695312
21/10/2014;6:45:00;23,56532288;0,703125
21/10/2014;6:40:00;23,57753372;0,695312
21/10/2014;6:35:00;23,52869225;0,601562
21/10/2014;6:30:00;23,56532288;0,703125
21/10/2014;6:25:00;23,52869225;0,601562
21/10/2014;6:20:00;23,56532288;0,695312
21/10/2014;6:15:00;23,56532288;0,601562
21/10/2014;6:10:00;23,56532288;0,601562
21/10/2014;6:05:00;23,51648331;0,796875
21/10/2014;6:00:00;23,47985268;0,601562
21/10/2014;5:55:00;23,38217163;0,601562
21/10/2014;5:50:00;23,46764374;0,796875
21/10/2014;5:45:00;23,43101311;0,5
21/10/2014;5:40:00;23,51648331;0,703125
21/10/2014;5:35:00;23,61416245;0,601562
21/10/2014;5:30:00;23,66300392;0,59375
21/10/2014;5:25:00;23,71184349;0,703125
21/10/2014;5:20:00;23,71184349;0,703125
21/10/2014;5:15:00;23,71184349;0,695312
21/10/2014;5:10:00;23,71184349;0,804688
21/10/2014;5:05:00;23,66300392;0,796875
21/10/2014;5:00:00;23,62637329;0,601562
21/10/2014;4:55:00;23,66300392;0,695312
21/10/2014;4:50:00;23,66300392;1
21/10/2014;4:45:00;23,66300392;0,5
21/10/2014;4:40:00;23,66300392;0,804688
21/10/2014;4:35:00;23,66300392;0,601562
21/10/2014;4:30:00;23,66300392;0,796875
21/10/2014;4:25:00;23,61416245;0,796875
21/10/2014;4:20:00;23,61416245;0,703125
21/10/2014;4:15:00;23,76068306;0,601562
21/10/2014;4:10:00;23,71184349;0,695312
21/10/2014;4:05:00;23,80952454;0,703125
21/10/2014;4:00:00;23,76068306;0,601562
21/10/2014;3:55:00;23,71184349;0,695312
21/10/2014;3:50:00;23,76068306;0,5
21/10/2014;3:45:00;23,76068306;0,703125
21/10/2014;3:40:00;23,80952454;0,703125
21/10/2014;3:35:00;23,76068306;0,59375
21/10/2014;3:30:00;23,76068306;0,90625
21/10/2014;3:25:00;23,85836411;0,695312
21/10/2014;3:20:00;23,8827858;0,703125
21/10/2014;3:15:00;23,90720367;0,796875
21/10/2014;3:10:00;23,90720367;0,703125
21/10/2014;3:05:00;23,85836411;0,695312
21/10/2014;3:00:00;23,90720367;0,703125
21/10/2014;2:55:00;23,85836411;0,898438
21/10/2014;2:50:00;23,76068306;0,898438
21/10/2014;2:45:00;23,76068306;0,703125
21/10/2014;2:40:00;23,80952454;0,601562
21/10/2014;2:35:00;23,85836411;0,796875
21/10/2014;2:30:00;23,95604324;0,5
21/10/2014;2:25:00;24,00488281;0,703125
21/10/2014;2:20:00;24,00488281;0,695312
21/10/2014;2:15:00;24,10256386;0,5
21/10/2014;2:10:00;24,05372429;0,804688
21/10/2014;2:05:00;24,04151535;0,695312
21/10/2014;2:00:00;23,99267387;0,703125
21/10/2014;1:55:00;23,95604324;0,601562
21/10/2014;1:50:00;24,04151535;0,695312
21/10/2014;1:45:00;23,99267387;0,804688
21/10/2014;1:40:00;24,00488281;0,695312
21/10/2014;1:35:00;24,00488281;0,601562
21/10/2014;1:30:00;23,95604324;0,804688
21/10/2014;1:25:00;23,95604324;0,796875
21/10/2014;1:20:00;23,95604324;0,601562
21/10/2014;1:15:00;23,95604324;0,695312
21/10/2014;1:10:00;23,9438343;0,601562
21/10/2014;1:05:00;24,00488281;0,804688
21/10/2014;1:00:00;23,95604324;0,796875
21/10/2014;0:55:00;23,99267387;0,703125
21/10/2014;0:50:00;23,95604324;0,796875
21/10/2014;0:45:00;23,90720367;0,796875
21/10/2014;0:40:00;23,89499474;0,804688
21/10/2014;0:35:00;23,90720367;0,5
21/10/2014;0:30:00;24,00488281;0,796875
21/10/2014;0:25:00;24,00488281;0,601562
21/10/2014;0:20:00;24,05372429;0,898438
21/10/2014;0:15:00;24,13919449;0,601562
21/10/2014;0:10:00;24,13919449;0,796875
21/10/2014;0:05:00;24,04151535;0,90625
21/10/2014;0:00:00;23,80952454;0,695312
